userName,content,score,at
Pengguna Google,"untuk update nya selanjutnya mohon investasi emas penjualan mohon bisa ke shopeepay langsung walaupun Shope bekerja sama dengan apk lain , tp untuk memudahkan pengguna yg belum mempunyai rekening seabank mau pun bank lain bisa menikmati fasilitas investasi nya , terimakasih.",4,2026-03-06 13:08:53
Pengguna Google,aplikasi Nya Bagus,5,2026-03-06 13:08:07
Pengguna Google,terimakasih,5,2026-03-06 13:07:21
Pengguna Google,mempermudah untuk berbelanja apa saja.pilihan metode pembayarannya juga beragam.,5,2026-03-06 13:06:05
Pengguna Google,Gila ngeselin banget sering nge leq padahal udah di update terus mana tiap make spx kadang kurirnya ga jelas plis lahh di perbaiki lagi ngeselin bnget tau ga si pas dpet diskon tiba² ngeleq atau nanti ga bisa cod ga jelas bnget tau ga siii ngeselin sumpah,1,2026-03-06 13:05:14
Pengguna Google,"masih di bintang 4, soalnya spyletter masih blm bisa",4,2026-03-06 13:05:00
Pengguna Google,"PAKET SAYA STUCK DI BEKASI VIRTUAL DC DAN SEMARANG DC WOIII, SPX LELET DALAM PENGIRIMAN👎",1,2026-03-06 13:04:13
Pengguna Google,Tidak dapat didonlot terus gimana caranya bisa belanja di Shopee mohon batuannya.,5,2026-03-06 13:03:45
Pengguna Google,"bug shopee live video sering terjadi,semoga bisa segera diatasi",3,2026-03-06 13:02:05
Pengguna Google,sangat bagus aplikasinya,5,2026-03-06 13:01:26
Pengguna Google,mantap,5,2026-03-06 13:00:36
Pengguna Google,ok,5,2026-03-06 12:59:44
Pengguna Google,"TAHUN INI PARAH, ONGKIR NYA SUPER MAHAL.",1,2026-03-06 12:58:28
Pengguna Google,saya tiap bulan sering bayaran di Shopee tapi untuk kali ini pembayaran akademik g bisa dan tidak ada pengembalian dana ny saya hubungi cs ny jawabannya sama dan g ad proses lebih lanjut uang saya blm kembali sampai saat ini tolong pihak Shopee pnya saya di proses pembayaran nya,1,2026-03-06 12:53:33
Pengguna Google,pelayannnya semakin mmbaik,5,2026-03-06 12:52:06
Pengguna Google,"so far aku gunain shopee aman-aman aja, tidak ada kendala ketika menggunakan, tapi saranku tolong banget adain metode pembayaran qrish, supaya lebih mudah pembayarannya, tidak melulu harus pakai saldo shopee pay atau kartu debit. ini pendapat aku yaa, mungkin orang-orang juga ingin juga. oke, intinya minta tolong pihak developer menindak lanjuti permintaan saya itu.🙏 terima kasih.",5,2026-03-06 12:50:45
Pengguna Google,"kalo naroh iklan dipikir main game ada elu, nonton YouTube ada elu blablabla ada elu",1,2026-03-06 12:50:33
Pengguna Google,skarang shopee uda jelek layanannya. dlu3-4 hari bisa sampai kiriman. skarang harus mnunggu sampe stengah bulan. . kiriman lewat reguler mala pakai via laut. kan sangat tdk profesional. sya tdk belanja di aplikasi ini lagi.,1,2026-03-06 12:50:18
Pengguna Google,"menurut saya cukup kurang dari apk ini, untuk apa fitur pemilihan untuk pengembalian barang lewat kurir atau antar mandiri jika ujung-ujungnya kurir malas menjemput dan waktu yang di berikan hanya satu hari untuk pengembalian barang pada penjual jadinya tidak memberikan kesempatan untuk pembeli yang sudah tertipu dari barang palsu mendapatkan dana nya kembali.",2,2026-03-06 12:49:31
Pengguna Google,mantap,5,2026-03-06 12:48:23
Pengguna Google,selama belanja dishopee ...pengiriman nya aman dan cepat,5,2026-03-06 12:48:00
Pengguna Google,"makin k sini make g jls,ga bisa pengembalian barang,padahal barang kekedean /baju sobek makin g jelas,hrus nunggu persetuan dlu,lama banget,untung untung kalo di setujui,siyalan",1,2026-03-06 12:47:45
Pengguna Google,"sudah tidak di ragukan lagi ini aplikasi ..selama ini pesenan"" yg saya beli selalu baik . banyak pilihan dab diskonya .. mantap tidak usa repot"" nyari pergi ke toko ...",5,2026-03-06 12:46:07
Pengguna Google,oke,4,2026-03-06 12:45:59
Pengguna Google,saya sudah beberapa kali belanja di shopee tapi bnyak toko yg gk amanah.gmbar gk sesuai dgn yg d kirim,1,2026-03-06 12:45:42
Pengguna Google,jangan beli di shopee pengiriman nya lama beli di tik tok aja,1,2026-03-06 12:44:37
Pengguna Google,Sangat²kecewa sama aplikasi shopee yg sekarang lemotnya minta ampun eror engga jelas padhal udah diperbarui tapi ngga ngefek malah lola enggak bisa di pakai. Terus gimana mau bayar tagihan kalo kaya gini buka aja udah males. Paylatter nya gga bisa dipakek padhal ga ada utangg,1,2026-03-06 12:43:06
Pengguna Google,"pelayanan nya oklah walaupun ada yang telat,tapi notif apknya kebanyakan.Masa gw gak ada beli apa apa tau tau ada notif ""pesanan anda telah dikirim""kan aneh gw gak mesen apa apa tau tau ad notif kek gituan",3,2026-03-06 12:42:43
Pengguna Google,Shopee is Best. saya puas,5,2026-03-06 12:41:51
Pengguna Google,kurir di des.kersaratu kec Malingping sangat membagongkan.katanya tidak diterima pembeli padahal.tidak di antarkan.alhasil cod saya di blok,5,2026-03-06 12:40:09
Pengguna Google,mantap *,5,2026-03-06 12:40:04
Pengguna Google,pemberitahuan dile,2,2026-03-06 12:39:35
Pengguna Google,bintang 5 tapi saya ngga bisa gunain fitur paylaternya,5,2026-03-06 12:39:33
Pengguna Google,Tokonya bnyk yg amanah tp ada jg yg mengecewakan tp bs dikembalikan dn diuangkan dn bnyk promonya jg.trimakasih shopee smoga tmbh sukses dn berkah.aamiiin yra,5,2026-03-06 12:37:44
Pengguna Google,Enak dah pokoknya pake shoppee,5,2026-03-06 12:37:15
Pengguna Google,"shopee,blanja onlein sungguh memuaskan konsumen,,semo ga k depan y,lebih bagus Lg",5,2026-03-06 12:36:07
Pengguna Google,adanya sopi ini saya sangat senang karena sangat membantu dan sangat murah klau ada gratis ongkir nya,5,2026-03-06 12:35:57
Pengguna Google,"sya checkout makanan dikirim dalam 35 hari sampai kadaluarsa sampai basi jamur 😂😂 , gila dikira dikirim dari Rusia ke sampai 35 hari 😂",1,2026-03-06 12:35:42
Pengguna Google,keep a quality.,5,2026-03-06 12:34:02
Pengguna Google,good,5,2026-03-06 12:33:57
Pengguna Google,"sering banget beli shopee food tapi cari drivernya setengah mati. udh nunggu sejam sampe dia ke cancel sendiri, padahal pake pengantaran yg prioritas. orang laper tapi disuruh nunggu lama mulu",2,2026-03-06 12:31:20
Pengguna Google,mantap,5,2026-03-06 12:31:13
Pengguna Google,mantap pokoknya..,5,2026-03-06 12:29:37
Pengguna Google,tak bisa cod,1,2026-03-06 12:29:09
Pengguna Google,The best,5,2026-03-06 12:28:27
Pengguna Google,"mantap kali emang aplikasi Shopee ini, emang membantu banget, apa lagi buat kita yg mageran, cocok buat emak emak yg hobi belanja, tapi mager..",5,2026-03-06 12:27:32
Pengguna Google,mantap,5,2026-03-06 12:25:43
Pengguna Google,kecewa nya susah untuk daftar Shopeelater..,2,2026-03-06 12:25:31
Pengguna Google,sangat membantu dalam berbelanja,5,2026-03-06 12:25:26
Pengguna Google,mantab.belanja di shopee,5,2026-03-06 12:23:25
Pengguna Google,banyakin gratis ongkir tanpa minimal belanja min biar sering belaja,5,2026-03-06 12:22:46
Pengguna Google,selalu puas,5,2026-03-06 12:22:29
Pengguna Google,Mantab,5,2026-03-06 12:22:17
Pengguna Google,kurirnya pada kaga mau kerja paket gua kaga di ambil ambil,1,2026-03-06 12:22:02
Pengguna Google,"produk Aplikasi Shopee ini 70% Sesuai kenyataan ya. yang 30% Produk Asal Jadi duit aja, ini kan menyusahkan orang, kalau barang Asal jadi gini dikembalikan pun kita bukan gak rugi kena potong 10 ribu juga tiap 1 Produk, Kalau takdikembalikan apa mau numpuk2 barang tak berguna dirumah kita. Atau Cuma bisa pasrah Aja "" Ya Sudahlah, gitu Iya.",3,2026-03-06 12:17:51
Pengguna Google,memudahkan saya dalam berbelanja,5,2026-03-06 12:17:03
Pengguna Google,"sudah dari lapan tahun belanja online di shoffe,,,sangat menyenangkan ,, terimakasih shope",5,2026-03-06 12:16:55
Pengguna Google,"2 pesanan di toko yang berbeda, metode pengiriman INSTANT, akun VIP, penjual sudah request pick up, TAPI DARI SISTEM TIDAK RESPON UPDATE UNTUK MENCARI DRIVER SELAMA 3 JAM. BOBROK BANGET SISTEM JASA PENGIRIMANNYA",1,2026-03-06 12:16:17
Pengguna Google,terbantu sekali dengan ada nya shopee,5,2026-03-06 12:15:43
Pengguna Google,bagus bngt🥰🥰,5,2026-03-06 12:15:23
Pengguna Google,"udah mau sebulan nunggu paket ga datang2, udah mulai ga bener!",1,2026-03-06 12:14:45
Pengguna Google,Mantap,5,2026-03-06 12:14:36
Pengguna Google,sangat mempermudah belanja dan dapat promo kurir juga sangat ramah dan sopan is the best,5,2026-03-06 12:14:14
Pengguna Google,"suka belanja di shopee,jaya selalu shopee",5,2026-03-06 12:10:20
Pengguna Google,Banyak ongkir gratis nya gak akan rugi beli di sini mah 5 bintang untuk apk ini keren😋,5,2026-03-06 12:09:31
Pengguna Google,saya sangat puas harga nya murah murah,5,2026-03-06 12:09:10
Pengguna Google,"belanja jadi mudah dan menyenangkan tak perlu cape* keluar,,, Terimakasih shopee",5,2026-03-06 12:07:31
Pengguna Google,kurirnya ga jelas kirim pesan tidak menghubungi penerima paket tiba2 paket di kembalikan ke penjual paket berserakan paket di tanya ke gudang gatauuuu menau mereka mohon di tinda lanjuti,1,2026-03-06 12:05:25
Pengguna Google,banyak bonus koin,5,2026-03-06 12:04:59
Pengguna Google,mantaaapppp,5,2026-03-06 12:04:18
Pengguna Google,banyak biaya ini itu apalagi sekarang biaya layanannya mahal,1,2026-03-06 12:03:36
Pengguna Google,aPas ngasi ulasan udah take vidio malah leletttttttttttt,1,2026-03-06 12:02:24
Pengguna Google,ini masih pertengahan puasa tapi. pihak spx. sudah overload. dan cara penangan cs shope kurang memuaskan.,2,2026-03-06 12:00:18
Pengguna Google,"aplikasi nya sangat membatu kita untuk berbelanja dan barang nya pun murah dan receh walupun murah tapi barang nya bagus² saya sudah pesan barang di shoppe Alhamdulillah nggak ada yang kecewa,mohon untuk di pertahankan ya min terimakasih banyak.",5,2026-03-06 12:00:03
Pengguna Google,pemesanan mudah,5,2026-03-06 11:59:33
Pengguna Google,"ganteng,mantap,ok",5,2026-03-06 11:58:31
Pengguna Google,sering diretur sama kurir nya udh 3 kali jadi nya GK bisa cod 👎,1,2026-03-06 11:58:09
Pengguna Google,Shopee terpercaya,5,2026-03-06 11:57:29
Pengguna Google,Shopee toko online recomended..pelayanannya mantap,5,2026-03-06 11:57:00
Pengguna Google,"saya seller yang jualan di shopee dirugikan 2x pencurian saldo penjual dengan dalih tertahan dan tidak bisa ditarik dikarenakan penggunaam voucher, sedangkan saya disini sebagai penjual bukan sebagai pembeli tapi saldo penjualan saya ditahan dengan alasan dan kebijakan yang tidak jelas, tidak seperti platform lain yang tidak pernah merugikan sepihak sellernya",1,2026-03-06 11:56:45
Pengguna Google,kenapa pengembalian barang selalu di tolak padahal jelas video unboxing ada poto ada barang nya rusak tidak bisa di gunakan kenapa tidak bisa retur/pengembalian ??????? rugi beli di shope barang rusak ga guna ga bisa di balikin,1,2026-03-06 11:55:51
Pengguna Google,ok,5,2026-03-06 11:53:39
Pengguna Google,baguss,3,2026-03-06 11:53:03
Pengguna Google,good job,5,2026-03-06 11:52:50
Pengguna Google,pengiriman lama berubah ubah mending di toko sebelah,1,2026-03-06 11:50:05
Pengguna Google,ok,5,2026-03-06 11:49:58
Pengguna Google,bagus,5,2026-03-06 11:45:43
Pengguna Google,mantap,5,2026-03-06 11:44:24
Pengguna Google,"bagus aplikasi nya gak ribet ,mudah digunakan dan setiap bulan dapat gratis ongkir dan banyak yang promo, barang tidak sesuai bisa direturn kembali, barang tidak bergerak di lokasi sampai berhari hari bisa dilaporkan untuk mempercepat proses pengiriman kalau telat dapat voucher gratis ongkir 10.000 , biasanya sering tepat waktu bahkan sebelum estimasi tiba sudah sampai di rumah , semoga kedepannya banyak fitur yang lebih menarik lagi, aplikasi ter the best pokoknya👍👍🤩",5,2026-03-06 11:44:03
Pengguna Google,sangat bagus dan mudah belanja,5,2026-03-06 11:43:40
Pengguna Google,sangat puas,5,2026-03-06 11:43:22
Pengguna Google,bagus sangat berguna,5,2026-03-06 11:42:52
Pengguna Google,belanja lebih peraktis,5,2026-03-06 11:42:08
Pengguna Google,Amanah sesuai gambar,5,2026-03-06 11:41:49
Pengguna Google,mantap cok! paylaternya coba lebih cepat dapat limit kreditnya,5,2026-03-06 11:41:10
Pengguna Google,bisa lebih memudahkan u pesan kebutuhan hidup,5,2026-03-06 11:37:06
Pengguna Google,iklanmu cok ngganggu dimana2,5,2026-03-06 11:34:23
Pengguna Google,suka Karana lebih simpel,5,2026-03-06 11:31:45
Pengguna Google,cukup membanti aplikasi shoppe. untuk belanja.. semoga awet dan lancar,5,2026-03-06 11:31:10
Pengguna Google,oke,5,2026-03-06 11:31:07
Pengguna Google,"apk shopee memang top, tidak ada 2 nya",5,2026-03-06 11:30:59
Pengguna Google,Mantappppp bosku lanjutkan bosku..... 👍🏼👍🏼👍🏼👍🏼👍🏼,5,2026-03-06 11:30:32
Pengguna Google,Aplikasi yg luar biasa sangat membantu,5,2026-03-06 11:28:09
Pengguna Google,sangat bagus,5,2026-03-06 11:27:01
Pengguna Google,selama ini masih membuat nyaman,5,2026-03-06 11:26:48
Pengguna Google,shopee sangat membantu untuk berbelanja,5,2026-03-06 11:26:43
Pengguna Google,Good,5,2026-03-06 11:25:29
Pengguna Google,sangat mantap 👍,5,2026-03-06 11:25:00
Pengguna Google,thx bgt shoppe,5,2026-03-06 11:24:08
Pengguna Google,"percuma beli ke aplikasi oren sini, pengantaran nya lama banget, bikin costumer sangat kecewa, mending belanja pergi ke aplikasi tiktok aja, ini saya terus terang, kecewa lihat kantor spx sini, lokasinya ada di, Kalimantan Barat, kabupaten landak, kecamatan mempawah hulu, spx karangan, sangat-sangat kecewa saya sebagai costumer lihat proses pengantaran nya lama banget",1,2026-03-06 11:22:01
Pengguna Google,banyak banyakin voucher ya shopee biar lebih semangat belanja nya😁,5,2026-03-06 11:20:53
Pengguna Google,"Shopee gk jelas, CS Shopee ngebeda - bedain seller ,klau sller kecil / toko kecil gk peduli mereka klau ada masalah, masa 3 hari aku pickup barang instan gk muncul kurirnya statusnya juga gk pernah di cari kurir. aku chat cs Shopee gk peduli mereka sampai orderannya di batalin sama pembeli sungguh kejam.",1,2026-03-06 11:19:23
