userName,content,score,at,text_token,text_stopword,text_stemmed,clean_text,polarity_score,polarity
Pengguna Google,aplikasi belanja belanja sangat praktis harga lebih murah di sini tetapi kadang barangnya tidak sesuai ekspektasi overall bagus,5,2026-02-28 12:14:50,"['aplikasi', 'belanja', 'belanja', 'sangat', 'praktis', 'harga', 'lebih', 'murah', 'di', 'sini', 'tetapi', 'kadang', 'barangnya', 'tidak', 'sesuai', 'ekspektasi', 'overall', 'bagus']","['aplikasi', 'belanja', 'belanja', 'praktis', 'harga', 'murah', 'kadang', 'barangnya', 'sesuai', 'ekspektasi', 'overall', 'bagus']",aplikasi belanja belanja praktis harga murah kadang barang sesuai ekspektasi overall bagus,aplikasi belanja belanja praktis harga murah kadang barang sesuai ekspektasi overall bagus,14.0,positif
Pengguna Google,dikit terdeteksi aktivitas tidak wajar tolong dibenahi akun udah ngikutin smua syaratnunggu bln lbh akunnya ga kunjung membaik takut bikin akun baru nnt kedeteksi lagi dlu ga gitu kak,1,2026-03-06 10:20:11,"['dikit', 'terdeteksi', 'aktivitas', 'tidak', 'wajar', 'tolong', 'dibenahi', 'akun', 'udah', 'ngikutin', 'smua', 'syaratnunggu', 'bln', 'lbh', 'akunnya', 'ga', 'kunjung', 'membaik', 'takut', 'bikin', 'akun', 'baru', 'nnt', 'kedeteksi', 'lagi', 'dlu', 'ga', 'gitu', 'kak']","['dikit', 'terdeteksi', 'aktivitas', 'wajar', 'tolong', 'dibenahi', 'akun', 'udah', 'ngikutin', 'smua', 'syaratnunggu', 'bln', 'lbh', 'akunnya', 'kunjung', 'membaik', 'takut', 'bikin', 'akun', 'nnt', 'kedeteksi', 'dlu', 'gitu', 'kak']",dikit deteksi aktivitas wajar tolong benah akun udah ngikutin smua syaratnunggu bln lbh akun kunjung baik takut bikin akun nnt deteksi dlu gitu kak,dikit deteksi aktivitas wajar tolong benah akun udah ngikutin smua syaratnunggu bln lbh akun kunjung baik takut bikin akun nnt deteksi dlu gitu kak,-9.0,negatif
Pengguna Google,aplikasinya bagus kalo mau belanja jadi lebih mudah nga usa keluar rumah cukup di rumah aja sudah bisa belanja apa aja,5,2026-02-23 07:18:57,"['aplikasinya', 'bagus', 'kalo', 'mau', 'belanja', 'jadi', 'lebih', 'mudah', 'nga', 'usa', 'keluar', 'rumah', 'cukup', 'di', 'rumah', 'aja', 'sudah', 'bisa', 'belanja', 'apa', 'aja']","['aplikasinya', 'bagus', 'kalo', 'belanja', 'mudah', 'nga', 'usa', 'rumah', 'rumah', 'aja', 'belanja', 'aja']",aplikasi bagus kalo belanja mudah nga usa rumah rumah aja belanja aja,aplikasi bagus kalo belanja mudah nga usa rumah rumah aja belanja aja,9.0,positif
Pengguna Google,mantabz,5,2026-02-25 08:35:37,['mantabz'],['mantabz'],mantabz,mantabz,0.0,netral
Pengguna Google,sekarang semua sulit ongkir ditambah dengan pengiriman khusus yang ndak masuk akal spx lambat sudah kami ketergantungan tapi sekarang kami di injak dengan segala ongkir dan pajak yang naik,2,2026-03-01 07:42:18,"['sekarang', 'semua', 'sulit', 'ongkir', 'ditambah', 'dengan', 'pengiriman', 'khusus', 'yang', 'ndak', 'masuk', 'akal', 'spx', 'lambat', 'sudah', 'kami', 'ketergantungan', 'tapi', 'sekarang', 'kami', 'di', 'injak', 'dengan', 'segala', 'ongkir', 'dan', 'pajak', 'yang', 'naik']","['sulit', 'ongkir', 'ditambah', 'pengiriman', 'khusus', 'ndak', 'masuk', 'akal', 'spx', 'lambat', 'ketergantungan', 'injak', 'ongkir', 'pajak']",sulit ongkir tambah kirim khusus ndak masuk akal spx lambat gantung injak ongkir pajak,sulit ongkir tambah kirim khusus ndak masuk akal spx lambat gantung injak ongkir pajak,-8.0,negatif
Pengguna Google,okeejust give me,5,2026-03-01 18:52:40,"['okeejust', 'give', 'me']","['okeejust', 'give']",okeejust give,okeejust give,0.0,netral
Pengguna Google,terimakasih,5,2026-03-01 15:28:51,['terimakasih'],['terimakasih'],terimakasih,terimakasih,5.0,positif
Pengguna Google,sohopee mantap pokoknya,5,2026-03-05 23:25:32,"['sohopee', 'mantap', 'pokoknya']","['sohopee', 'mantap', 'pokoknya']",sohopee mantap pokok,sohopee mantap pokok,3.0,positif
Pengguna Google,mantap,5,2026-02-27 22:51:17,['mantap'],['mantap'],mantap,mantap,3.0,positif
Pengguna Google,makin kesini makin kecewa pesan barang via instan malah harus nunggu berharihari sampai terbatalkan oleh sistem dan cs shopee nya sangat tidak bisa membantu mencari solusi malah minta tunggu terus cukup kali ini saja di kecewakan,1,2026-03-04 08:47:14,"['makin', 'kesini', 'makin', 'kecewa', 'pesan', 'barang', 'via', 'instan', 'malah', 'harus', 'nunggu', 'berharihari', 'sampai', 'terbatalkan', 'oleh', 'sistem', 'dan', 'cs', 'shopee', 'nya', 'sangat', 'tidak', 'bisa', 'membantu', 'mencari', 'solusi', 'malah', 'minta', 'tunggu', 'terus', 'cukup', 'kali', 'ini', 'saja', 'di', 'kecewakan']","['kesini', 'kecewa', 'pesan', 'barang', 'via', 'instan', 'nunggu', 'berharihari', 'terbatalkan', 'sistem', 'cs', 'shopee', 'membantu', 'mencari', 'solusi', 'tunggu', 'kali', 'kecewakan']",kesini kecewa pesan barang via instan nunggu berharihari batal sistem cs shopee bantu cari solusi tunggu kali kecewa,kesini kecewa pesan barang via instan nunggu berharihari batal sistem cs shopee bantu cari solusi tunggu kali kecewa,-17.0,negatif
Pengguna Google,sangattt baguss smnjak ada shopy dan saya pun udah jarang belnja di pasaran karna di shoope agaa mura dikit kebanding harga pasaran barangnya pun sama kaya di pasar pkonyaa tebestt bngtt shopeeee,5,2026-02-27 02:20:04,"['sangattt', 'baguss', 'smnjak', 'ada', 'shopy', 'dan', 'saya', 'pun', 'udah', 'jarang', 'belnja', 'di', 'pasaran', 'karna', 'di', 'shoope', 'agaa', 'mura', 'dikit', 'kebanding', 'harga', 'pasaran', 'barangnya', 'pun', 'sama', 'kaya', 'di', 'pasar', 'pkonyaa', 'tebestt', 'bngtt', 'shopeeee']","['sangattt', 'baguss', 'smnjak', 'shopy', 'udah', 'jarang', 'belnja', 'pasaran', 'karna', 'shoope', 'agaa', 'mura', 'dikit', 'kebanding', 'harga', 'pasaran', 'barangnya', 'kaya', 'pasar', 'pkonyaa', 'tebestt', 'bngtt', 'shopeeee']",sangattt baguss smnjak shopy udah jarang belnja pasar karna shoope agaa mura dikit banding harga pasar barang kaya pasar pkonyaa tebestt bngtt shopeeee,sangattt baguss smnjak shopy udah jarang belnja pasar karna shoope agaa mura dikit banding harga pasar barang kaya pasar pkonyaa tebestt bngtt shopeeee,2.0,positif
Pengguna Google,pertahan kan seperti sekarang,5,2026-03-02 00:13:51,"['pertahan', 'kan', 'seperti', 'sekarang']",['pertahan'],tahan,tahan,-1.0,negatif
Pengguna Google,kereen,5,2026-03-06 09:25:20,['kereen'],['kereen'],kereen,kereen,0.0,netral
Pengguna Google,mantapp,5,2026-02-28 10:37:04,['mantapp'],['mantapp'],mantapp,mantapp,0.0,netral
Pengguna Google,makasih buat dm gratis shopee indonesia,5,2026-03-04 13:09:09,"['makasih', 'buat', 'dm', 'gratis', 'shopee', 'indonesia']","['makasih', 'dm', 'gratis', 'shopee', 'indonesia']",makasih dm gratis shopee indonesia,makasih dm gratis shopee indonesia,8.0,positif
Pengguna Google,amanah,5,2026-03-04 04:33:08,['amanah'],['amanah'],amanah,amanah,5.0,positif
Pengguna Google,baru nyampe kemarin,4,2026-03-03 09:27:40,"['baru', 'nyampe', 'kemarin']","['nyampe', 'kemarin']",nyampe kemarin,nyampe kemarin,0.0,netral
Pengguna Google,limit tidak bisa digunakan,3,2026-02-28 13:27:32,"['limit', 'tidak', 'bisa', 'digunakan']",['limit'],limit,limit,0.0,netral
